query,intent,entities
I am looking for a laptop under 1000 dollars not Dell,search_product,"[(20, 26, 'PRODUCT_TYPE'), (27, 44, 'PRICE_RANGE'), (49, 53, 'BRAND_EXCLUSION')]"
Can you show me some wireless headphones with noise cancellation for under 300 bucks,search_product,"[(17, 36, 'PRODUCT_TYPE'), (42, 60, 'FEATURE'), (65, 81, 'PRICE_RANGE')]"
I need a new Samsung phone with at least 256GB storage in black,search_product,"[(13, 20, 'BRAND'), (21, 26, 'PRODUCT_TYPE'), (41, 53, 'STORAGE'), (57, 62, 'COLOR')]"
Do you have any refurbished iPhones that are unlocked and under 500,search_product,"[(16, 27, 'CONDITION'), (28, 35, 'PRODUCT_TYPE'), (45, 53, 'FEATURE'), (58, 67, 'PRICE_RANGE')]"
I'm searching for a gaming PC with an RTX 4080 graphics card and 32GB RAM,search_product,"[(22, 31, 'PRODUCT_TYPE'), (40, 48, 'GPU'), (49, 62, 'COMPONENT'), (67, 73, 'RAM')]"
Help me find a vintage leather jacket in brown for men size medium,search_product,"[(15, 22, 'STYLE'), (23, 30, 'MATERIAL'), (31, 37, 'PRODUCT_TYPE'), (41, 46, 'COLOR'), (51, 54, 'GENDER'), (60, 66, 'SIZE')]"
Looking for a 65 inch 4K OLED TV from Sony that costs less than 2000,search_product,"[(14, 21, 'SIZE'), (22, 24, 'RESOLUTION'), (25, 32, 'PRODUCT_TYPE'), (38, 42, 'BRAND'), (54, 68, 'PRICE_RANGE')]"
I want to buy a mechanical keyboard with RGB lighting and Cherry MX switches,search_product,"[(18, 37, 'PRODUCT_TYPE'), (43, 55, 'FEATURE'), (60, 78, 'TECH')]"
Can anyone recommend a good mirrorless camera from Canon with a kit lens,search_product,"[(29, 46, 'PRODUCT_TYPE'), (52, 57, 'BRAND'), (65, 73, 'ACCESSORY')]"
I'm interested in a pre-owned Rolex Submariner with a steel bracelet,search_product,"[(20, 29, 'CONDITION'), (30, 35, 'BRAND'), (36, 47, 'MODEL'), (55, 69, 'MATERIAL')]"
Does anyone have an electric mountain bike with a 500W motor for sale,search_product,"[(20, 41, 'PRODUCT_TYPE'), (49, 58, 'POWER')]"
I would like to purchase a Dyson V15 cordless vacuum that has been refurbished,search_product,"[(27, 32, 'BRAND'), (33, 36, 'MODEL'), (37, 52, 'PRODUCT_TYPE'), (67, 78, 'CONDITION')]"
Show me Apple Watches Series 9 in 45mm with GPS and cellular in titanium,search_product,"[(8, 13, 'BRAND'), (14, 21, 'PRODUCT_TYPE'), (22, 30, 'MODEL'), (34, 38, 'SIZE'), (44, 47, 'FEATURE'), (52, 60, 'FEATURE'), (64, 72, 'MATERIAL')]"
I need an electric standing desk that is adjustable and around 60 inches in oak,search_product,"[(13, 36, 'PRODUCT_TYPE'), (45, 55, 'FEATURE'), (67, 76, 'SIZE'), (80, 83, 'MATERIAL')]"
Looking for Bose QuietComfort earbuds with noise cancelling in white color,search_product,"[(12, 16, 'BRAND'), (17, 29, 'MODEL'), (30, 37, 'PRODUCT_TYPE'), (43, 59, 'FEATURE'), (63, 68, 'COLOR')]"
Can you find me a Herman Miller Aeron office chair in size B graphite,search_product,"[(19, 32, 'BRAND'), (33, 38, 'MODEL'), (39, 51, 'PRODUCT_TYPE'), (55, 61, 'SIZE'), (62, 70, 'COLOR')]"
I'm looking to get a Nintendo Switch OLED model in white with some games,search_product,"[(22, 30, 'BRAND'), (31, 37, 'PRODUCT_TYPE'), (38, 48, 'MODEL'), (52, 57, 'COLOR'), (68, 73, 'ACCESSORY')]"
Do you sell Patagonia down jackets for men in large and blue,search_product,"[(12, 21, 'BRAND'), (22, 34, 'PRODUCT_TYPE'), (39, 42, 'GENDER'), (46, 51, 'SIZE'), (56, 60, 'COLOR')]"
I want an Instant Pot Duo that is 8 quarts and brand new,search_product,"[(10, 21, 'BRAND'), (22, 25, 'MODEL'), (34, 42, 'SIZE'), (47, 56, 'CONDITION')]"
Please show me Samsung ultrawide monitors that are 49 inches with 240Hz refresh rate,search_product,"[(15, 22, 'BRAND'), (23, 42, 'PRODUCT_TYPE'), (52, 61, 'SIZE'), (67, 72, 'REFRESH_RATE')]"
I am in the market for Adidas Ultraboost running shoes in white size 9.5,search_product,"[(23, 29, 'BRAND'), (30, 40, 'MODEL'), (41, 54, 'PRODUCT_TYPE'), (58, 63, 'COLOR'), (64, 72, 'SIZE')]"
Looking for a KitchenAid stand mixer in 5 quart empire red color,search_product,"[(14, 24, 'BRAND'), (25, 36, 'PRODUCT_TYPE'), (40, 47, 'SIZE'), (48, 59, 'COLOR')]"
Can I get a Nespresso coffee machine that comes with a milk frother in black,search_product,"[(12, 21, 'BRAND'), (22, 36, 'PRODUCT_TYPE'), (53, 65, 'ACCESSORY'), (69, 74, 'COLOR')]"
I need a Weber gas grill with 4 burners made of stainless steel,search_product,"[(10, 15, 'BRAND'), (16, 24, 'PRODUCT_TYPE'), (30, 39, 'FEATURE'), (48, 63, 'MATERIAL')]"
Does anyone sell DJI Mavic 3 Pro drones with the Fly More combo included,search_product,"[(17, 20, 'BRAND'), (21, 30, 'MODEL'), (31, 37, 'PRODUCT_TYPE'), (47, 60, 'INCLUSIONS')]"
I'm searching for a Secretlab Titan gaming chair in XL size dark knight edition,search_product,"[(21, 31, 'BRAND'), (32, 37, 'MODEL'), (38, 50, 'PRODUCT_TYPE'), (54, 61, 'SIZE'), (62, 73, 'COLOR')]"
Show me the Sonos Arc soundbar with a subwoofer for home theater setup,search_product,"[(12, 17, 'BRAND'), (18, 21, 'MODEL'), (22, 30, 'PRODUCT_TYPE'), (38, 48, 'ACCESSORY'), (53, 65, 'USAGE')]"
I want to purchase a Vitamix A3500 blender in brushed stainless finish,search_product,"[(23, 31, 'BRAND'), (32, 37, 'MODEL'), (38, 45, 'PRODUCT_TYPE'), (49, 66, 'MATERIAL')]"
Looking for a Yeti Tundra 65 cooler that is hard sided in white,search_product,"[(14, 18, 'BRAND'), (19, 28, 'MODEL'), (29, 35, 'PRODUCT_TYPE'), (44, 54, 'FEATURE'), (58, 63, 'COLOR')]"
Can you help me find Lululemon yoga pants for women with high waist in black,search_product,"[(21, 30, 'BRAND'), (31, 41, 'PRODUCT_TYPE'), (46, 51, 'GENDER'), (57, 67, 'FEATURE'), (71, 76, 'COLOR')]"
I need a Razer BlackWidow mechanical keyboard with RGB that is wired,search_product,"[(10, 15, 'BRAND'), (16, 26, 'MODEL'), (27, 46, 'PRODUCT_TYPE'), (52, 55, 'FEATURE'), (64, 69, 'CONNECTIVITY')]"
Do you have Garmin Fenix 7 smartwatches with sapphire glass and solar charging,search_product,"[(12, 18, 'BRAND'), (19, 26, 'MODEL'), (27, 39, 'PRODUCT_TYPE'), (45, 59, 'MATERIAL'), (64, 78, 'FEATURE')]"
I'm interested in buying a Peloton Bike Plus with cycling shoes and weights,search_product,"[(27, 34, 'BRAND'), (35, 44, 'MODEL'), (50, 63, 'ACCESSORY'), (68, 75, 'ACCESSORY')]"
Please find me a Theragun Pro massage gun that comes with attachments,search_product,"[(18, 26, 'BRAND'), (27, 30, 'MODEL'), (31, 42, 'PRODUCT_TYPE'), (59, 70, 'ACCESSORY')]"
I want a MacBook Pro 16 inch with M3 Max chip and 64GB RAM in space black,search_product,"[(9, 20, 'MODEL'), (21, 28, 'SIZE'), (34, 42, 'PROCESSOR'), (47, 55, 'RAM'), (59, 70, 'COLOR')]"
Looking for Google Pixel 8 Pro phones with 256GB storage in obsidian unlocked,search_product,"[(12, 18, 'BRAND'), (19, 28, 'MODEL'), (29, 35, 'PRODUCT_TYPE'), (41, 47, 'STORAGE'), (59, 67, 'COLOR'), (68, 76, 'FEATURE')]"
Can I see some Le Creuset Dutch ovens in 7.25 quart size flame orange,search_product,"[(17, 27, 'BRAND'), (28, 39, 'PRODUCT_TYPE'), (43, 54, 'SIZE'), (60, 72, 'COLOR')]"
I need an Osprey Atmos AG 65 backpack for men in large size,search_product,"[(10, 16, 'BRAND'), (17, 27, 'MODEL'), (28, 36, 'PRODUCT_TYPE'), (41, 44, 'GENDER'), (48, 53, 'SIZE')]"
Show me Breville Barista Express espresso machines in silver finish,search_product,"[(8, 16, 'BRAND'), (17, 32, 'MODEL'), (33, 50, 'PRODUCT_TYPE'), (54, 60, 'COLOR')]"
I'm looking for Bowflex SelectTech 552 adjustable dumbbells sold as a pair,search_product,"[(17, 24, 'BRAND'), (25, 38, 'MODEL'), (43, 63, 'PRODUCT_TYPE'), (74, 78, 'QUANTITY')]"
Do you carry LG C3 55 inch OLED TVs with 4K resolution and smart webOS,search_product,"[(13, 15, 'BRAND'), (16, 18, 'MODEL'), (19, 26, 'SIZE'), (27, 35, 'PRODUCT_TYPE'), (41, 43, 'RESOLUTION'), (59, 64, 'OS')]"
