query,intent,entities
"Show me refurbished iPhone 14 Pro Max 256GB in Space Black with at least 90% battery health","buy_product","[(9, 20, 'CONDITION'), (21, 41, 'PRODUCT_TYPE'), (45, 55, 'STORAGE'), (59, 70, 'COLOR'), (75, 104, 'FEATURE')]"
"I need a vintage Rolex Submariner from the 1980s with original box and papers","buy_product","[(10, 17, 'STYLE'), (18, 33, 'PRODUCT_TYPE'), (38, 47, 'ERA'), (53, 76, 'INCLUSIONS')]"
"Find me a certified pre-owned Mercedes-Benz E-Class with less than 30k miles and panoramic sunroof","buy_product","[(11, 30, 'CONDITION'), (31, 54, 'PRODUCT_TYPE'), (59, 74, 'MILEAGE'), (79, 98, 'FEATURE')]"
"Looking for a limited edition PlayStation 5 console with Horizon Forbidden West bundle, new in box","buy_product","[(15, 30, 'EDITION'), (31, 53, 'PRODUCT_TYPE'), (58, 89, 'BUNDLE'), (94, 104, 'CONDITION')]"
"Show me authentic Louis Vuitton Neverfull MM in monogram canvas with date code from 2022","buy_product","[(9, 18, 'AUTHENTICITY'), (19, 42, 'PRODUCT_TYPE'), (46, 59, 'MATERIAL'), (64, 84, 'FEATURE')]"
"Search for professional DSLR cameras like Canon EOS R5 or Sony A7 IV with 4K video capability","buy_product","[(13, 33, 'PRODUCT_TYPE'), (39, 50, 'BRAND'), (54, 62, 'BRAND'), (66, 89, 'FEATURE')]"
"I want a complete set of TaylorMade Stealth irons 4-PW with stiff flex graphite shafts","buy_product","[(15, 44, 'PRODUCT_TYPE'), (48, 52, 'SET_RANGE'), (58, 68, 'FLEX'), (69, 84, 'MATERIAL')]"
"Find designer handbags - Gucci, Prada, or Chanel - in excellent used condition with authenticity cards","buy_product","[(5, 21, 'PRODUCT_TYPE'), (24, 29, 'BRAND'), (32, 37, 'BRAND'), (40, 45, 'BRAND'), (49, 66, 'CONDITION'), (72, 94, 'INCLUSIONS')]"
"Show me rare first edition Harry Potter books with original dust jackets, preferably Philosopher's Stone","buy_product","[(9, 13, 'RARITY'), (14, 37, 'PRODUCT_TYPE'), (42, 65, 'FEATURE'), (77, 98, 'SPECIFIC_PRODUCT')]"
"I'm looking for a high-end gaming PC with RTX 4090, Intel i9-13900K, and liquid cooling system","buy_product","[(20, 33, 'PRODUCT_TYPE'), (38, 47, 'GPU'), (50, 65, 'CPU'), (70, 89, 'FEATURE')]"
"Busco una bicicleta de montaña Specialized o Trek talla L, suspensión delantera y frenos de disco","buy_product","[(10, 36, 'PRODUCT_TYPE'), (37, 47, 'BRAND'), (50, 53, 'BRAND'), (55, 60, 'SIZE'), (62, 85, 'FEATURE'), (90, 106, 'FEATURE')]"
"Je veux une montre de plongée automatique, étanche à 300m, avec bracelet en acier, marque Omega ou Rolex","buy_product","[(15, 36, 'PRODUCT_TYPE'), (38, 60, 'FEATURE'), (66, 89, 'MATERIAL'), (96, 101, 'BRAND'), (104, 109, 'BRAND')]"
"Muéstrame cámaras mirrorless full frame como Sony A7 III o Canon EOS R6 con objetivo 24-70mm","buy_product","[(11, 38, 'PRODUCT_TYPE'), (44, 52, 'BRAND'), (56, 65, 'BRAND'), (70, 89, 'LENS')]"
"Trouvez-moi un vélo électrique pliable avec autonomie 80km, vitesse max 25km/h et charge rapide","buy_product","[(12, 33, 'PRODUCT_TYPE'), (34, 42, 'FEATURE'), (48, 60, 'FEATURE'), (66, 80, 'FEATURE'), (85, 97, 'FEATURE')]"
"Zeig mir professionelle DJ-Equipment: Pioneer CDJ-3000 und DJM-900 Nexus 2, gebraucht aber gut erhalten","buy_product","[(10, 34, 'PRODUCT_TYPE'), (36, 52, 'MODEL'), (57, 75, 'MODEL'), (80, 89, 'CONDITION'), (94, 107, 'CONDITION')]"
"Ich suche eine hochwertige Küchenmaschine von KitchenAid oder Bosch mit mindestens 10 Zubehörteilen","buy_product","[(17, 36, 'PRODUCT_TYPE'), (42, 51, 'BRAND'), (55, 59, 'BRAND'), (65, 101, 'FEATURE')]"
"Cerco un violino antico italiano, possibilmente Cremonese, con certificato di autenticità","buy_product","[(10, 17, 'PRODUCT_TYPE'), (18, 31, 'STYLE'), (32, 41, 'ORIGIN'), (57, 66, 'ORIGIN'), (72, 101, 'INCLUSIONS')]"
"Mostrami action figure Marvel Legends serie vintage con scatola originale e accessori completi","buy_product","[(9, 31, 'PRODUCT_TYPE'), (32, 38, 'BRAND'), (39, 51, 'STYLE'), (57, 82, 'INCLUSIONS')]"
"Encontrar zapatillas de baloncesto Nike LeBron 20, talla 46, nuevas con etiquetas","buy_product","[(8, 39, 'PRODUCT_TYPE'), (40, 44, 'BRAND'), (45, 55, 'MODEL'), (57, 62, 'SIZE'), (64, 88, 'CONDITION')]"
"Procuro uma câmera instantânea Fujifilm Instax Mini 11 em rosa com 5 pacotes de filme incluídos","buy_product","[(8, 31, 'PRODUCT_TYPE'), (32, 51, 'MODEL'), (55, 59, 'COLOR'), (63, 100, 'INCLUSIONS')]"
"Looking for graded PSA 10 Pokemon cards - Charizard, Blastoise, or Venusaur from 1999 base set","buy_product","[(15, 22, 'GRADE'), (23, 37, 'PRODUCT_TYPE'), (40, 49, 'SPECIFIC_PRODUCT'), (53, 62, 'SPECIFIC_PRODUCT'), (66, 74, 'SPECIFIC_PRODUCT'), (79, 95, 'ERA')]"
"Show me complete LEGO Star Wars UCS sets with original instructions and all minifigures","buy_product","[(9, 16, 'COMPLETENESS'), (17, 36, 'PRODUCT_TYPE'), (42, 68, 'INCLUSIONS'), (73, 87, 'INCLUSIONS')]"
"Find authentic Air Jordan 1 Retro High OG in 'Chicago' colorway, deadstock condition, size 10.5","buy_product","[(11, 19, 'AUTHENTICITY'), (20, 48, 'PRODUCT_TYPE'), (52, 62, 'COLORWAY'), (64, 80, 'CONDITION'), (82, 89, 'SIZE')]"
"I need a commercial-grade espresso machine, 2-group, with built-in grinder and water filter","buy_product","[(10, 36, 'PRODUCT_TYPE'), (38, 46, 'CLASS'), (52, 76, 'FEATURE'), (81, 98, 'FEATURE')]"
"Search for limited edition Funko Pop! figures from Comic-Con exclusives with original stickers","buy_product","[(11, 25, 'EDITION'), (26, 42, 'PRODUCT_TYPE'), (48, 66, 'EXCLUSIVITY'), (72, 92, 'INCLUSIONS')]"
"Show me professional studio lighting kits with softboxes, stands, and wireless triggers","buy_product","[(9, 36, 'PRODUCT_TYPE'), (42, 51, 'INCLUSIONS'), (53, 59, 'INCLUSIONS'), (65, 83, 'INCLUSIONS')]"
"Find me a rare 1959 Gibson Les Paul Standard in sunburst finish with original case","buy_product","[[(11, 15, 'RARITY'), (16, 44, 'PRODUCT_TYPE'), (48, 60, 'FINISH'), (65, 80, 'INCLUSIONS')]]"
"I'm looking for a complete set of Wüsthof Classic Ikon knives with wooden block storage","buy_product","[(20, 28, 'COMPLETENESS'), (29, 56, 'PRODUCT_TYPE'), (62, 89, 'INCLUSIONS')]"
"Search for vintage Chanel quilted lambskin handbags with gold hardware from 1980-1990","buy_product","[(11, 18, 'STYLE'), (19, 48, 'PRODUCT_TYPE'), (49, 63, 'MATERIAL'), (69, 82, 'FEATURE'), (88, 98, 'ERA')]"
"Show me high-end Swiss automatic watches with moonphase complication, 40-42mm case size","buy_product","[(9, 17, 'QUALITY'), (18, 24, 'ORIGIN'), (25, 42, 'PRODUCT_TYPE'), (48, 70, 'FEATURE'), (72, 90, 'SIZE')]"
"Find professional DJ controllers with motorized platters, 4-channel mixer, and performance pads","buy_product","[(5, 24, 'PRODUCT_TYPE'), (30, 51, 'FEATURE'), (53, 72, 'FEATURE'), (78, 97, 'FEATURE')]"
"I need a heavy-duty standing desk with electric height adjustment and memory presets, 60x30 inches","buy_product","[(10, 28, 'PRODUCT_TYPE'), (34, 63, 'FEATURE'), (68, 84, 'FEATURE'), (86, 101, 'SIZE')]"
"Looking for complete vintage dinnerware sets - Noritake or Wedgwood - for 12 people","buy_product","[(15, 22, 'COMPLETENESS'), (23, 40, 'PRODUCT_TYPE'), (44, 51, 'BRAND'), (55, 62, 'BRAND'), (66, 77, 'CAPACITY')]"
"Show me luxury Egyptian cotton bed sheets, 1000 thread count, king size, in neutral tones","buy_product","[(9, 15, 'QUALITY'), (16, 34, 'MATERIAL'), (35, 50, 'PRODUCT_TYPE'), (52, 71, 'FEATURE'), (73, 82, 'SIZE'), (86, 99, 'COLOR')]"
"Find me a professional-grade compound bow with 70lb draw weight and carbon fiber limbs","buy_product","[(11, 29, 'PRODUCT_TYPE'), (35, 52, 'FEATURE'), (57, 76, 'MATERIAL')]"
"I'm searching for rare vinyl records - first pressings of Pink Floyd's Dark Side of the Moon","buy_product","[(20, 24, 'RARITY'), (25, 38, 'PRODUCT_TYPE'), (40, 55, 'EDITION'), (59, 92, 'SPECIFIC_PRODUCT')]"
"Show me antique Persian rugs, 8x10 feet, with vegetable dyes and no repairs","buy_product","[(9, 16, 'STYLE'), (17, 29, 'ORIGIN'), (30, 34, 'PRODUCT_TYPE'), (36, 47, 'SIZE'), (53, 68, 'MATERIAL'), (73, 84, 'CONDITION')]"
"Find high-performance mountain bikes with full suspension, carbon frame, and Shimano XT groupset","buy_product","[(5, 25, 'PRODUCT_TYPE'), (31, 48, 'FEATURE'), (50, 62, 'MATERIAL'), (68, 89, 'COMPONENTS')]"
"Looking for professional chef's knives - Japanese Damascus steel with pakkawood handles","buy_product","[(15, 35, 'PRODUCT_TYPE'), (38, 54, 'ORIGIN'), (55, 72, 'MATERIAL'), (78, 95, 'MATERIAL')]"
"Show me smart home bundles including Nest thermostat, 4 Google Home Minis, and 2 Nest Protects","buy_product","[(9, 25, 'PRODUCT_TYPE'), (35, 50, 'INCLUSIONS'), (52, 71, 'INCLUSIONS'), (77, 93, 'INCLUSIONS')]"
"Find authentic military surplus items - WW2 era - especially US Army field jackets size large","buy_product","[(11, 19, 'AUTHENTICITY'), (20, 40, 'PRODUCT_TYPE'), (44, 50, 'ERA'), (62, 89, 'SPECIFIC_PRODUCT'), (90, 100, 'SIZE')]"
"I need a commercial-grade ice maker producing at least 100lbs per day with water filtration","buy_product","[(10, 28, 'PRODUCT_TYPE'), (39, 63, 'CAPACITY'), (68, 89, 'FEATURE')]"
"Search for collector's edition video game consoles like PlayStation 4 Pro 500 Million Limited Edition","buy_product","[(11, 28, 'EDITION'), (29, 54, 'PRODUCT_TYPE'), (60, 106, 'SPECIFIC_PRODUCT')]"
"Show me professional studio monitor speakers (pair) with 8-inch woofers and ribbon tweeters","buy_product","[(9, 37, 'PRODUCT_TYPE'), (43, 58, 'FEATURE'), (63, 81, 'FEATURE')]"
"Find me a complete home gym setup with power rack, Olympic barbell, bumper plates, and bench","buy_product","[(11, 17, 'COMPLETENESS'), (18, 35, 'PRODUCT_TYPE'), (41, 52, 'INCLUSIONS'), (54, 70, 'INCLUSIONS'), (72, 86, 'INCLUSIONS'), (92, 97, 'INCLUSIONS')]"
"Looking for luxury leather briefcases - full-grain Italian leather with brass hardware","buy_product","[(15, 22, 'QUALITY'), (23, 40, 'PRODUCT_TYPE'), (42, 67, 'MATERIAL'), (73, 89, 'FEATURE')]"
"Show me high-end digital pianos with weighted keys and authentic acoustic piano sound","buy_product","[(9, 17, 'QUALITY'), (18, 33, 'PRODUCT_TYPE'), (39, 53, 'FEATURE'), (58, 89, 'FEATURE')]"
"Find professional photography backdrops - seamless paper rolls 107" wide in various colors","buy_product","[(5, 25, 'PRODUCT_TYPE'), (27, 45, 'FEATURE'), (47, 74, 'SIZE'), (78, 93, 'COLOR')]"
"I'm searching for antique grandfather clocks with moonphase and chime selection, 8-9 feet tall","buy_product","[(20, 27, 'STYLE'), (28, 46, 'PRODUCT_TYPE'), (52, 61, 'FEATURE'), (66, 82, 'FEATURE'), (84, 96, 'SIZE')]"
"Show me premium golf club sets including driver, 3-wood, hybrid, irons 5-PW, and putter","buy_product","[(9, 16, 'QUALITY'), (17, 32, 'PRODUCT_TYPE'), (42, 49, 'INCLUSIONS'), (51, 58, 'INCLUSIONS'), (60, 67, 'INCLUSIONS'), (69, 79, 'INCLUSIONS'), (85, 91, 'INCLUSIONS')]"
"Find authentic Native American turquoise jewelry - especially squash blossom necklaces","buy_product","[(11, 19, 'AUTHENTICITY'), (20, 47, 'PRODUCT_TYPE'), (53, 82, 'SPECIFIC_PRODUCT')]"
"Looking for professional barista equipment: commercial espresso machine, grinder, and milk frother","buy_product","[(15, 34, 'PRODUCT_TYPE'), (36, 65, 'INCLUSIONS'), (67, 75, 'INCLUSIONS'), (81, 94, 'INCLUSIONS')]"
