query,intent,entities
Can I please see a bicycle under $50,search_product,"[(19, 26, 'PRODUCT_TYPE'), (27, 36, 'PRICE_RANGE')]"
I'm looking for vintage rotary phones working condition restored decorator pieces,search_product,"[(18, 39, 'PRODUCT_TYPE'), (40, 57, 'CONDITION'), (58, 66, 'CONDITION'), (67, 83, 'USAGE')]"
I want a wool vacuum cleaner recommendations?,search_product,"[(9, 13, 'MATERIAL'), (14, 28, 'PRODUCT_TYPE')]"
Anyone selling a home office fitness tracker any suggestions?,search_product,"[(17, 28, 'USAGE'), (29, 44, 'PRODUCT_TYPE')]"
green jacket any suggestions?,search_product,"[(0, 5, 'COLOR'), (6, 12, 'PRODUCT_TYPE')]"
Can I see recliners power lift with heat massage for elderly,search_product,"[(10, 19, 'PRODUCT_TYPE'), (20, 30, 'PRODUCT_TYPE'), (36, 40, 'FEATURE'), (41, 48, 'FEATURE'), (53, 60, 'USAGE')]"
My daughter wants a gaming handbag please,search_product,"[(20, 26, 'USAGE'), (27, 34, 'PRODUCT_TYPE')]"
Please find me headphones like Bose QC45 but with better bass response,search_product,"[(19, 29, 'PRODUCT_TYPE'), (35, 39, 'BRAND'), (40, 44, 'MODEL'), (54, 73, 'FEATURE')]"
I have been searching for a hoodie over $1000 any suggestions?,search_product,"[(28, 34, 'PRODUCT_TYPE'), (35, 45, 'PRICE_RANGE')]"
I need a leather gaming laptop in orange,search_product,"[(34, 40, 'COLOR'), (9, 16, 'MATERIAL'), (17, 30, 'PRODUCT_TYPE')]"
My daughter wants a red Dell boots recommendations?,search_product,"[(20, 23, 'COLOR'), (24, 28, 'BRAND'), (29, 34, 'PRODUCT_TYPE')]"
I've been looking for a gold Google earbuds less than $150,search_product,"[(24, 28, 'COLOR'), (29, 35, 'BRAND'), (36, 43, 'PRODUCT_TYPE'), (44, 58, 'PRICE_RANGE')]"
Please show me smart indoor garden systems hydroponic with LED grow lights,search_product,"[(15, 43, 'PRODUCT_TYPE'), (44, 54, 'PRODUCT_TYPE'), (60, 74, 'FEATURE')]"
I need a new Samsung phone with at least 256GB storage in black,search_product,"[(13, 20, 'BRAND'), (21, 26, 'PRODUCT_TYPE'), (41, 53, 'STORAGE'), (57, 62, 'COLOR')]"
Looking for tile flooring porcelain wood look 6x36 rectified edges,search_product,"[(12, 25, 'PRODUCT_TYPE'), (26, 35, 'MATERIAL'), (36, 45, 'STYLE'), (46, 50, 'SIZE'), (51, 66, 'FEATURE')]"
I need something like the Kindle Paperwhite but with a larger screen,search_product,"[(7, 28, 'SIMILAR_TO'), (36, 48, 'FEATURE')]"
Can you find me a Nike Pegasus 40 for sale,search_product,"[(18, 22, 'BRAND'), (23, 33, 'MODEL')]"
Looking for nylon handbag,search_product,"[(12, 17, 'MATERIAL'), (18, 25, 'PRODUCT_TYPE')]"
My wife wants a cotton tablet in good condition,search_product,"[(16, 22, 'MATERIAL'), (23, 29, 'PRODUCT_TYPE')]"
Cerco una macchina per espresso professionale con macinino integrato,search_product,"[(12, 43, 'PRODUCT_TYPE'), (44, 56, 'TIER'), (61, 79, 'FEATURE')]"
Looking for vintage vinyl record players with Bluetooth connectivity,search_product,"[(12, 38, 'PRODUCT_TYPE'), (44, 66, 'FEATURE')]"
I'm looking for open box earbuds for sale,search_product,"[(16, 24, 'CONDITION'), (25, 32, 'PRODUCT_TYPE')]"
I need a reliable generator propane powered dual fuel 5000W for backup,search_product,"[(10, 18, 'TIER'), (19, 28, 'PRODUCT_TYPE'), (29, 43, 'FUEL'), (44, 53, 'FEATURE'), (54, 59, 'POWER'), (64, 70, 'USAGE')]"
I'm looking for a 1Zpresso J-Max manual coffee grinder with 48mm steel burrs,search_product,"[(18, 25, 'BRAND'), (26, 31, 'MODEL'), (32, 52, 'PRODUCT_TYPE'), (58, 72, 'BURR')]"
Could you help me find a leather mattress if possible,search_product,"[(25, 32, 'MATERIAL'), (33, 41, 'PRODUCT_TYPE')]"
I need a pre-owned boots please,search_product,"[(9, 18, 'CONDITION'), (19, 24, 'PRODUCT_TYPE')]"
I'm looking for a forest green KitchenAid mouse,search_product,"[(18, 30, 'COLOR'), (31, 41, 'BRAND'), (42, 47, 'PRODUCT_TYPE')]"
I want a brown gaming laptop anyone?,search_product,"[(9, 14, 'COLOR'), (15, 28, 'PRODUCT_TYPE')]"
Can you find professional taxidermy supplies complete kit for beginners,search_product,"[(13, 44, 'PRODUCT_TYPE'), (45, 57, 'FEATURE'), (62, 72, 'TIER')]"
I have been searching for a ethernet air fryer,search_product,"[(28, 36, 'CONNECTIVITY'), (37, 46, 'PRODUCT_TYPE')]"
I want studio notebook,search_product,"[(7, 13, 'USAGE'), (14, 22, 'PRODUCT_TYPE')]"
I need advanced boots recommendations?,search_product,"[(7, 15, 'USAGE'), (16, 21, 'PRODUCT_TYPE')]"
Do you have Wyze Cam v3 cameras for indoor and outdoor use with night vision,search_product,"[(12, 16, 'BRAND'), (17, 23, 'MODEL'), (24, 31, 'PRODUCT_TYPE'), (36, 42, 'USAGE'), (47, 54, 'USAGE'), (60, 72, 'FEATURE')]"
Searching for a forest green Google jeans recommendations?,search_product,"[(16, 28, 'COLOR'), (29, 35, 'BRAND'), (36, 41, 'PRODUCT_TYPE')]"
My daughter wants a USB-C boots,search_product,"[(20, 25, 'CONNECTIVITY'), (26, 31, 'PRODUCT_TYPE')]"
Looking for Google Pixel 8 Pro phones with 256GB storage in obsidian unlocked,search_product,"[(12, 18, 'BRAND'), (19, 28, 'MODEL'), (29, 35, 'PRODUCT_TYPE'), (41, 47, 'STORAGE'), (59, 67, 'COLOR'), (68, 76, 'FEATURE')]"
Do you have coffee makers that make espresso like Breville machines at lower price,search_product,"[(12, 25, 'PRODUCT_TYPE'), (36, 43, 'STYLE'), (49, 57, 'BRAND'), (58, 66, 'PRODUCT_TYPE'), (70, 81, 'PRICE_PREFERENCE')]"
Can you show me a brand new Apple iPhone 14 if possible,search_product,"[(18, 27, 'CONDITION'), (28, 33, 'BRAND'), (34, 43, 'MODEL')]"
Can I please see a white smartphone,search_product,"[(19, 24, 'COLOR'), (25, 35, 'PRODUCT_TYPE')]"
We want to find a gaming jeans please,search_product,"[(18, 24, 'USAGE'), (25, 30, 'PRODUCT_TYPE')]"
Please find me a adjustable sandals recommendations?,search_product,"[(17, 27, 'FEATURE'), (28, 35, 'PRODUCT_TYPE')]"
Can I please see a desk lamp XXL for sale,search_product,"[(19, 28, 'PRODUCT_TYPE'), (29, 32, 'SIZE')]"
My daughter wants a Sony speaker if possible,search_product,"[(20, 24, 'BRAND'), (25, 32, 'PRODUCT_TYPE')]"
Looking for a wood smartphone anyone?,search_product,"[(14, 18, 'MATERIAL'), (19, 29, 'PRODUCT_TYPE')]"
Show me a Sony WF-1000XM5,search_product,"[(10, 14, 'BRAND'), (15, 25, 'MODEL')]"
I need a nylon air fryer in cream,search_product,"[(28, 33, 'COLOR'), (9, 14, 'MATERIAL'), (15, 24, 'PRODUCT_TYPE')]"
Looking for gray jacket please,search_product,"[(12, 16, 'COLOR'), (17, 23, 'PRODUCT_TYPE')]"
I need a Nikon Z6 III under $50 if possible,search_product,"[(9, 14, 'BRAND'), (15, 21, 'MODEL'), (22, 31, 'PRICE_RANGE')]"
I'm interested in buying Yamaha HS8 studio monitors that are powered 8 inch pair,search_product,"[(24, 30, 'BRAND'), (31, 34, 'MODEL'), (35, 50, 'PRODUCT_TYPE'), (60, 67, 'FEATURE'), (68, 74, 'SIZE'), (75, 79, 'QUANTITY')]"
Does anyone have a HDMI blender in good condition,search_product,"[(19, 23, 'CONNECTIVITY'), (24, 31, 'PRODUCT_TYPE')]"
Please find me a laptop stand aluminum adjustable with cooling fan,search_product,"[(18, 30, 'PRODUCT_TYPE'), (30, 38, 'MATERIAL'), (40, 50, 'FEATURE'), (56, 67, 'FEATURE')]"
Does anyone sell a nylon monitor in silver,search_product,"[(36, 42, 'COLOR'), (19, 24, 'MATERIAL'), (25, 32, 'PRODUCT_TYPE')]"
Does anyone sell a open box running shoes recommendations?,search_product,"[(19, 27, 'CONDITION'), (28, 41, 'PRODUCT_TYPE')]"
Please find me complete beekeeping starter kits with hives and protective gear,search_product,"[(15, 46, 'PRODUCT_TYPE'), (52, 57, 'INCLUSIONS'), (62, 77, 'INCLUSIONS')]"
Do you have any complete poker sets 500 chips clay professional grade,search_product,"[(16, 35, 'PRODUCT_TYPE'), (36, 45, 'QUANTITY'), (46, 50, 'MATERIAL'), (51, 69, 'TIER')]"
Does anyone sell a drone between $100 and $300 recommendations?,search_product,"[(19, 24, 'PRODUCT_TYPE'), (25, 46, 'PRICE_RANGE')]"
I want a camping tent for 4 persons that is lightweight and waterproof,search_product,"[(9, 21, 'PRODUCT_TYPE'), (26, 35, 'SIZE'), (44, 55, 'WEIGHT'), (60, 71, 'FEATURE')]"
Please find me a plastic drone for sale,search_product,"[(17, 24, 'MATERIAL'), (25, 30, 'PRODUCT_TYPE')]"
Anyone selling a Apple MacBook Pro M3 in purple for sale,search_product,"[(17, 22, 'BRAND'), (23, 37, 'MODEL'), (41, 47, 'COLOR')]"
Can anyone find a smartphone M,search_product,"[(18, 28, 'PRODUCT_TYPE'), (19, 20, 'SIZE')]"
Help me find velvet fitness tracker,search_product,"[(13, 19, 'MATERIAL'), (20, 35, 'PRODUCT_TYPE')]"
I need a vintage cash register working brass National from early 1900s,search_product,"[(10, 32, 'PRODUCT_TYPE'), (33, 40, 'CONDITION'), (41, 46, 'MATERIAL'), (47, 55, 'BRAND'), (61, 72, 'ERA')]"
Show me Eureka Mignon Specialita coffee grinders with 55mm flat burrs,search_product,"[(8, 14, 'BRAND'), (15, 32, 'MODEL'), (33, 48, 'PRODUCT_TYPE'), (54, 68, 'SIZE')]"
I want a Apple boots if possible,search_product,"[(9, 14, 'BRAND'), (15, 20, 'PRODUCT_TYPE')]"
Looking for recumbent exercise bikes with heart rate monitor for rehab,search_product,"[(12, 36, 'PRODUCT_TYPE'), (42, 60, 'FEATURE'), (65, 73, 'USAGE')]"
I need gaming keyboards similar to Razer Huntsman but more affordable,search_product,"[(7, 23, 'PRODUCT_TYPE'), (35, 40, 'BRAND'), (41, 49, 'SIMILAR_TO'), (54, 69, 'PRICE_PREFERENCE')]"
Looking for a good condition Apple boots in good condition,search_product,"[(14, 28, 'CONDITION'), (29, 34, 'BRAND'), (35, 40, 'PRODUCT_TYPE')]"
I need a yoga mat $50 to $200 for sale,search_product,"[(9, 17, 'PRODUCT_TYPE'), (18, 29, 'PRICE_RANGE')]"
Can you find me a workout monitor anyone?,search_product,"[(18, 25, 'USAGE'), (26, 33, 'PRODUCT_TYPE')]"
Can I see some Samsung T7 Shield external SSDs with 1TB storage in rugged design,search_product,"[(17, 24, 'BRAND'), (25, 34, 'MODEL'), (35, 48, 'PRODUCT_TYPE'), (54, 57, 'STORAGE'), (69, 75, 'FEATURE')]"
like new running shoes recommendations?,search_product,"[(0, 8, 'CONDITION'), (9, 22, 'PRODUCT_TYPE')]"
Do you have Garmin Fenix 7 smartwatches with sapphire glass and solar charging,search_product,"[(12, 18, 'BRAND'), (19, 26, 'MODEL'), (27, 39, 'PRODUCT_TYPE'), (45, 59, 'MATERIAL'), (64, 78, 'FEATURE')]"
Do you have any handmade Persian rugs wool 8x10 traditional design,search_product,"[(16, 37, 'PRODUCT_TYPE'), (38, 42, 'MATERIAL'), (43, 47, 'SIZE'), (48, 66, 'STYLE')]"
My son wants a treadmill less than $150 for sale,search_product,"[(15, 24, 'PRODUCT_TYPE'), (25, 39, 'PRICE_RANGE')]"
Show me a wired sunglasses,search_product,"[(10, 15, 'CONNECTIVITY'), (16, 26, 'PRODUCT_TYPE')]"
Searching for a brown Nikon gaming laptop recommendations?,search_product,"[(16, 21, 'COLOR'), (22, 27, 'BRAND'), (28, 41, 'PRODUCT_TYPE')]"
My daughter wants a travel wireless headphones please,search_product,"[(20, 26, 'USAGE'), (27, 46, 'PRODUCT_TYPE')]"
I want gold dumbbells please,search_product,"[(7, 11, 'COLOR'), (12, 21, 'PRODUCT_TYPE')]"
I want an antique brass telescope nautical working with wooden tripod,search_product,"[(10, 33, 'PRODUCT_TYPE'), (34, 42, 'STYLE'), (43, 50, 'CONDITION'), (56, 70, 'INCLUSIONS')]"
Can you show me a blue sandals any suggestions?,search_product,"[(18, 22, 'COLOR'), (23, 30, 'PRODUCT_TYPE')]"
Can anyone find a plastic leggings for sale,search_product,"[(18, 25, 'MATERIAL'), (26, 34, 'PRODUCT_TYPE')]"
Show me a certified refurbished leggings,search_product,"[(10, 31, 'CONDITION'), (32, 40, 'PRODUCT_TYPE')]"
Do you have anything comparable to Herman Miller chairs but more affordable,search_product,"[(25, 38, 'BRAND'), (39, 45, 'PRODUCT_TYPE'), (55, 70, 'PRICE_PREFERENCE')]"
I'd like to get a hiking tablet,search_product,"[(18, 24, 'USAGE'), (25, 31, 'PRODUCT_TYPE')]"
My husband is looking for a ceramic gaming headset any suggestions?,search_product,"[(28, 35, 'MATERIAL'), (36, 50, 'PRODUCT_TYPE')]"
My son wants a cream HP wallet recommendations?,search_product,"[(15, 20, 'COLOR'), (21, 23, 'BRAND'), (24, 30, 'PRODUCT_TYPE')]"
We are searching for a rose gold blanket any suggestions?,search_product,"[(23, 32, 'COLOR'), (33, 40, 'PRODUCT_TYPE')]"
Help me find a Thunderbolt sandals in good condition,search_product,"[(15, 26, 'CONNECTIVITY'), (27, 34, 'PRODUCT_TYPE')]"
I'm interested in a refurbished Dell XPS 15 laptop with 32GB RAM and 1TB SSD,search_product,"[(20, 31, 'CONDITION'), (32, 36, 'BRAND'), (37, 40, 'MODEL'), (44, 50, 'PRODUCT_TYPE'), (56, 62, 'RAM'), (67, 73, 'STORAGE')]"
We need a pillow less than $150,search_product,"[(10, 16, 'PRODUCT_TYPE'), (17, 31, 'PRICE_RANGE')]"
Searching for refurbished navy earbuds,search_product,"[(26, 30, 'COLOR'), (31, 38, 'PRODUCT_TYPE'), (14, 25, 'CONDITION')]"
Can you find me a wifi microphone for sale,search_product,"[(18, 22, 'CONNECTIVITY'), (23, 33, 'PRODUCT_TYPE')]"
Can you find complete blacksmith forge sets with anvil and hammers,search_product,"[(13, 40, 'PRODUCT_TYPE'), (46, 51, 'INCLUSIONS'), (56, 63, 'INCLUSIONS')]"
I want a quality air purifier with HEPA filter for allergies large room coverage,search_product,"[(9, 16, 'TIER'), (17, 29, 'PRODUCT_TYPE'), (35, 46, 'FILTER'), (51, 60, 'USAGE'), (61, 80, 'COVERAGE')]"
My daughter wants a scratch resistant hard drive,search_product,"[(20, 37, 'FEATURE'), (38, 48, 'PRODUCT_TYPE')]"
Searching for a refurbished drone,search_product,"[(16, 27, 'CONDITION'), (28, 33, 'PRODUCT_TYPE')]"
like new headphones please,search_product,"[(0, 8, 'CONDITION'), (9, 19, 'PRODUCT_TYPE')]"
Show me electronic drum kits mesh heads with module for apartment drummers,search_product,"[(8, 29, 'PRODUCT_TYPE'), (30, 40, 'FEATURE'), (46, 52, 'FEATURE'), (57, 75, 'USAGE')]"
Where can I find a hoodie under $200 any suggestions?,search_product,"[(19, 25, 'PRODUCT_TYPE'), (26, 36, 'PRICE_RANGE')]"
Help me find a brand new webcam,search_product,"[(15, 24, 'CONDITION'), (25, 31, 'PRODUCT_TYPE')]"
Do you have Sony A7R V mirrorless cameras with 61MP sensor and AI autofocus,search_product,"[(12, 16, 'BRAND'), (17, 22, 'MODEL'), (23, 41, 'PRODUCT_TYPE'), (47, 51, 'RESOLUTION'), (63, 75, 'FEATURE')]"
My wife wants a red backpack for sale,search_product,"[(16, 19, 'COLOR'), (20, 28, 'PRODUCT_TYPE')]"
Can anyone find a good condition wallet recommendations?,search_product,"[(18, 32, 'CONDITION'), (33, 39, 'PRODUCT_TYPE')]"
Help me find a refurbished blender for advanced,search_product,"[(27, 34, 'PRODUCT_TYPE'), (15, 26, 'CONDITION'), (39, 47, 'USAGE')]"
My friend wants a soundbar below $30 if possible,search_product,"[(18, 26, 'PRODUCT_TYPE'), (27, 36, 'PRICE_RANGE')]"
I'm searching for a De Longhi La Specialista espresso machine with dual boiler,search_product,"[(21, 30, 'BRAND'), (31, 46, 'MODEL'), (47, 63, 'PRODUCT_TYPE'), (69, 80, 'FEATURE')]"
Looking for a aluminum soundbar any suggestions?,search_product,"[(14, 22, 'MATERIAL'), (23, 31, 'PRODUCT_TYPE')]"
Please find me a like new forest green boots for training,search_product,"[(17, 25, 'CONDITION'), (26, 38, 'COLOR'), (39, 44, 'PRODUCT_TYPE'), (49, 57, 'USAGE')]"
Can anyone find a HDMI air fryer for sale,search_product,"[(18, 22, 'CONNECTIVITY'), (23, 32, 'PRODUCT_TYPE')]"
Looking for a backpack for cycling in brown,search_product,"[(38, 43, 'COLOR'), (14, 22, 'PRODUCT_TYPE'), (27, 34, 'USAGE')]"
Anyone selling a wireless headphones XL any suggestions?,search_product,"[(17, 36, 'PRODUCT_TYPE'), (37, 39, 'SIZE')]"
Do you carry credit card readers mobile NFC contactless for small business,search_product,"[(13, 32, 'PRODUCT_TYPE'), (33, 39, 'PRODUCT_TYPE'), (40, 43, 'TECH'), (44, 55, 'PRODUCT_TYPE'), (60, 74, 'USAGE')]"
Looking for NVIDIA RTX 4090 graphics cards in the Founders Edition version,search_product,"[(12, 18, 'BRAND'), (19, 27, 'MODEL'), (28, 42, 'PRODUCT_TYPE'), (50, 66, 'VARIANT')]"
I'm interested in a anti-slip drone,search_product,"[(20, 29, 'FEATURE'), (30, 35, 'PRODUCT_TYPE')]"
Do you have a camping router,search_product,"[(14, 21, 'USAGE'), (22, 28, 'PRODUCT_TYPE')]"
Do you carry standing desk converters dual monitor with keyboard tray,search_product,"[(13, 37, 'PRODUCT_TYPE'), (38, 50, 'FEATURE'), (56, 68, 'INCLUSIONS')]"
Looking for a for parts mouse anyone?,search_product,"[(14, 23, 'CONDITION'), (24, 29, 'PRODUCT_TYPE')]"
Please find me vinyl plank flooring waterproof luxury SPC with underlayment,search_product,"[(15, 35, 'PRODUCT_TYPE'), (36, 47, 'FEATURE'), (48, 54, 'PRODUCT_TYPE'), (55, 58, 'MATERIAL'), (64, 76, 'INCLUSIONS')]"
Can I see a charger XL for sale,search_product,"[(12, 19, 'PRODUCT_TYPE'), (20, 22, 'SIZE')]"
I'm looking for a gaming headset XS,search_product,"[(18, 32, 'PRODUCT_TYPE'), (33, 35, 'SIZE')]"
Can you find me a headphones over $1000 anyone?,search_product,"[(18, 28, 'PRODUCT_TYPE'), (29, 39, 'PRICE_RANGE')]"
Help me find a silver Samsung guitar recommendations?,search_product,"[(15, 21, 'COLOR'), (22, 29, 'BRAND'), (30, 36, 'PRODUCT_TYPE')]"
I'm interested in a brand new KitchenAid wireless headphones for cycling,search_product,"[(20, 29, 'CONDITION'), (30, 40, 'BRAND'), (41, 60, 'PRODUCT_TYPE'), (65, 72, 'USAGE')]"
Do you have basketball shoes high top with ankle support size 12,search_product,"[(12, 28, 'PRODUCT_TYPE'), (29, 37, 'STYLE'), (43, 57, 'FEATURE'), (58, 65, 'SIZE')]"
Please find me a beige Vitamix coffee maker,search_product,"[(17, 22, 'COLOR'), (23, 30, 'BRAND'), (31, 43, 'PRODUCT_TYPE')]"
Show me smart electric toothbrushes with pressure sensor and app connectivity,search_product,"[(8, 35, 'PRODUCT_TYPE'), (41, 56, 'FEATURE'), (61, 77, 'FEATURE')]"
I'm looking for a wool sneakers for sale,search_product,"[(18, 22, 'MATERIAL'), (23, 31, 'PRODUCT_TYPE')]"
I'm searching for complete woodworking bench with vises and dog holes,search_product,"[(21, 45, 'PRODUCT_TYPE'), (51, 56, 'INCLUSIONS'), (61, 70, 'FEATURE')]"
Help me find wool blanket in grey,search_product,"[(29, 33, 'COLOR'), (13, 17, 'MATERIAL'), (18, 25, 'PRODUCT_TYPE')]"
Anyone selling a burgundy gaming laptop recommendations?,search_product,"[(17, 25, 'COLOR'), (26, 39, 'PRODUCT_TYPE')]"
I'm interested in a dumbbells king,search_product,"[(20, 29, 'PRODUCT_TYPE'), (30, 34, 'SIZE')]"
Searching for a like new wool handbag,search_product,"[(25, 29, 'MATERIAL'), (30, 37, 'PRODUCT_TYPE'), (16, 24, 'CONDITION')]"
Help me find pre-owned pillow anyone?,search_product,"[(13, 22, 'CONDITION'), (23, 29, 'PRODUCT_TYPE')]"
I need an Osprey Atmos AG 65 backpack for men in large size,search_product,"[(10, 16, 'BRAND'), (17, 27, 'MODEL'), (28, 36, 'PRODUCT_TYPE'), (41, 44, 'GENDER'), (48, 53, 'SIZE')]"
Please find me a nylon headset anyone?,search_product,"[(17, 22, 'MATERIAL'), (23, 30, 'PRODUCT_TYPE')]"
My daughter wants a Thunderbolt bicycle for sale,search_product,"[(20, 31, 'CONNECTIVITY'), (32, 39, 'PRODUCT_TYPE')]"
Where can I find a professional handbag,search_product,"[(19, 31, 'USAGE'), (32, 39, 'PRODUCT_TYPE')]"
I really need a cotton microphone for sale,search_product,"[(16, 22, 'MATERIAL'), (23, 33, 'PRODUCT_TYPE')]"
Can I see professional felting supplies with needles and wool roving,search_product,"[(10, 38, 'PRODUCT_TYPE'), (44, 51, 'INCLUSIONS'), (56, 67, 'INCLUSIONS')]"
My son wants a streaming blanket,search_product,"[(15, 24, 'USAGE'), (25, 32, 'PRODUCT_TYPE')]"
I'm searching for a purple keyboard please,search_product,"[(20, 26, 'COLOR'), (27, 35, 'PRODUCT_TYPE')]"
I want a gaming earbuds if possible,search_product,"[(9, 15, 'USAGE'), (16, 23, 'PRODUCT_TYPE')]"
Can you show me a polyester backpack any suggestions?,search_product,"[(18, 27, 'MATERIAL'), (28, 36, 'PRODUCT_TYPE')]"
I want a pre-owned earbuds,search_product,"[(9, 18, 'CONDITION'), (19, 26, 'PRODUCT_TYPE')]"
I need a polyester sandals in cream,search_product,"[(30, 35, 'COLOR'), (9, 18, 'MATERIAL'), (19, 26, 'PRODUCT_TYPE')]"
Can you find me a aluminum treadmill for sale,search_product,"[(18, 26, 'MATERIAL'), (27, 36, 'PRODUCT_TYPE')]"
Looking for a wireless phone case recommendations?,search_product,"[(14, 22, 'CONNECTIVITY'), (23, 33, 'PRODUCT_TYPE')]"
Looking for foldable electric scooters with long range for commuting adults,search_product,"[(12, 38, 'PRODUCT_TYPE'), (44, 54, 'FEATURE'), (59, 68, 'USAGE'), (69, 75, 'USAGE')]"
Looking for a microphone for kids in beige,search_product,"[(37, 42, 'COLOR'), (14, 24, 'PRODUCT_TYPE'), (29, 33, 'USAGE')]"
Help me find a keyboard under $25 recommendations?,search_product,"[(15, 23, 'PRODUCT_TYPE'), (24, 33, 'PRICE_RANGE')]"
