query,intent,entities
"Necesito un traje de negoсio italiano de lana super 150's color azul marino, talla 52R, entrega urgente",buy_product,"[(10, 31, 'PRODUCT_TYPE'), (32, 40, 'ORIGIN'), (44, 59, 'MATERIAL'), (60, 74, 'COLOR'), (76, 86, 'SIZE'), (88, 102, 'SHIPPING')]"
Show me luxury lovebird nests: enclosed with entry holes,buy_product,"[(9, 15, 'QUALITY'), (16, 30, 'PRODUCT_TYPE'), (32, 48, 'FEATURE'), (54, 71, 'INCLUSIONS')]"
Find commercial-grade popcorn makers with stainless steel kettles and portion control systems,buy_product,"[(5, 20, 'FEATURE'), (21, 36, 'PRODUCT_TYPE'), (41, 66, 'MATERIAL'), (71, 96, 'FEATURE')]"
Encuentre máquinas de corte por chorro de agua con bomba ultrahigh y control CNC,buy_product,"[(10, 48, 'PRODUCT_TYPE'), (49, 71, 'FEATURE'), (76, 90, 'CONTROL')]"
Compre um kit de barbear,buy_product,"[(6, 27, 'PRODUCT_TYPE')]"
Locate professional tattoo power supplies with adjustable voltage and foot pedal,buy_product,"[(7, 17, 'FEATURE'), (18, 36, 'PRODUCT_TYPE'), (41, 65, 'FEATURE'), (70, 84, 'FEATURE')]"
Show me luxury rabbit hutches: two-story designs with run areas and weather protection,buy_product,"[(9, 15, 'QUALITY'), (16, 30, 'PRODUCT_TYPE'), (32, 58, 'FEATURE'), (64, 79, 'INCLUSIONS'), (85, 104, 'INCLUSIONS')]"
I need a commercial-grade amazake starter with cultures,buy_product,"[(10, 29, 'PRODUCT_TYPE'), (35, 55, 'FEATURE')]"
Show me professional-grade marbling tools: for paper or fabric,buy_product,"[(9, 27, 'PRODUCT_TYPE'), (29, 58, 'SPECIFIC_PRODUCT')]"
Looking for antique locksmith tools - skeleton keys or pick sets,buy_product,"[(15, 22, 'STYLE'), (23, 42, 'PRODUCT_TYPE'), (44, 74, 'SPECIFIC_ITEMS')]"
Looking for antique music box discs - interchangeable song sets,buy_product,"[(15, 22, 'STYLE'), (23, 44, 'PRODUCT_TYPE'), (46, 74, 'SPECIFIC_ITEMS')]"
"Encuentre relojes de ajedrez digitales con alarma por tiempo y modo torneo, memoria de partidas",buy_product,"[(10, 37, 'PRODUCT_TYPE'), (42, 71, 'FEATURE'), (76, 92, 'MODE'), (94, 116, 'FEATURE')]"
"Zeig mir professionelle Trockenhauben mit Ionenfunktion und temperaturregelung, 2000W",buy_product,"[(10, 32, 'FEATURE'), (33, 46, 'PRODUCT_TYPE'), (51, 72, 'FEATURE'), (74, 91, 'FEATURE'), (93, 100, 'POWER')]"
Search for commercial coffee grinders with dose control and anti-static technology,buy_product,"[(11, 20, 'FEATURE'), (21, 38, 'PRODUCT_TYPE'), (43, 62, 'FEATURE'), (67, 91, 'TECHNOLOGY')]"
