query,intent,entities
iPhone 15 Pro under $1000,search_product,"[(0, 6, 'BRAND'), (7, 15, 'MODEL')]"
used MacBook Air 2020,search_product,"[(5, 12, 'BRAND')]"
refurbished MacBook Air 2020,search_product,"[(5, 12, 'BRAND')]"
new Nike running shoes size 10,search_product,"[(4, 8, 'BRAND'), (9, 22, 'PRODUCT_TYPE'), (23, 30, 'SIZE')]"
latest Nike running shoes size 10,search_product,"[(4, 8, 'BRAND'), (9, 22, 'PRODUCT_TYPE'), (23, 30, 'SIZE')]"
Samsung Galaxy S23 Ultra 512GB,search_product,"[(0, 7, 'BRAND'), (8, 26, 'MODEL')]"
cheap Sony headphones under $50,search_product,"[(6, 10, 'BRAND'), (11, 21, 'PRODUCT_TYPE'), (22, 31, 'PRICE_RANGE')]"
inexpensive Sony headphones under $50,search_product,"[(6, 10, 'BRAND'), (11, 21, 'PRODUCT_TYPE'), (22, 31, 'PRICE_RANGE')]"
women's Adidas sneakers white,search_product,"[(8, 14, 'BRAND'), (15, 23, 'PRODUCT_TYPE'), (24, 29, 'COLOR')]"
4K TV 65 inch Samsung,search_product,"[(0, 3, 'RESOLUTION'), (4, 6, 'SIZE'), (7, 14, 'BRAND')]"
Xbox Series X console like new,search_product,"[(0, 13, 'PRODUCT_NAME'), (14, 22, 'CONDITION')]"
Xbox Series X console like unused,search_product,"[(0, 13, 'PRODUCT_NAME'), (14, 22, 'CONDITION')]"
organic cotton t-shirts large,search_product,"[(0, 7, 'MATERIAL'), (8, 16, 'PRODUCT_TYPE'), (17, 22, 'SIZE')]"
diamond engagement ring 1 carat,search_product,"[(0, 7, 'MATERIAL'), (8, 23, 'PRODUCT_TYPE')]"
kitchenaid mixer red,search_product,"[(0, 10, 'BRAND'), (11, 17, 'PRODUCT_TYPE')]"
playstation 5 digital edition,search_product,"[(0, 11, 'BRAND'), (12, 13, 'MODEL')]"
yoga mat eco-friendly 6mm,search_product,"[(0, 8, 'PRODUCT_TYPE'), (9, 22, 'FEATURE')]"
canon eos r5 mirrorless camera,search_product,"[(0, 5, 'BRAND'), (6, 12, 'MODEL'), (13, 23, 'PRODUCT_TYPE')]"
queen size memory foam mattress,search_product,"[(0, 11, 'SIZE'), (12, 24, 'MATERIAL')]"
leather wallet for men genuine,search_product,"[(0, 7, 'MATERIAL'), (8, 14, 'PRODUCT_TYPE'), (20, 28, 'CONDITION')]"
instant pot duo 7-in-1,search_product,"[(0, 11, 'BRAND'), (12, 15, 'MODEL'), (16, 22, 'FEATURES')]"
air jordan 1 retro high,search_product,"[(0, 10, 'BRAND'), (11, 12, 'MODEL'), (13, 23, 'STYLE')]"
wireless security camera outdoor,search_product,"[(0, 8, 'TECH'), (9, 23, 'PRODUCT_TYPE'), (24, 31, 'USAGE')]"
vitamix blender refurbished,search_product,"[(0, 7, 'BRAND'), (8, 15, 'PRODUCT_TYPE')]"
iPhone 15 Pro Max 256GB new,search_product,"[(0, 6, 'BRAND'), (7, 20, 'MODEL'), (21, 26, 'CAPACITY')]"
iPhone 15 Pro Max 256GB fresh,search_product,"[(0, 6, 'BRAND'), (7, 20, 'MODEL'), (21, 26, 'CAPACITY')]"
used MacBook Pro M2 2023,search_product,"[(0, 4, 'CONDITION'), (5, 12, 'BRAND'), (13, 21, 'MODEL'), (22, 24, 'CHIP')]"
second-hand MacBook Pro M2 2023,search_product,"[(0, 4, 'CONDITION'), (5, 12, 'BRAND'), (13, 21, 'MODEL'), (22, 24, 'CHIP')]"
Nike Air Force 1 white size 11,search_product,"[(0, 4, 'BRAND'), (5, 18, 'MODEL'), (19, 24, 'COLOR')]"
Sony WH-1000XM5 headphones black,search_product,"[(0, 4, 'BRAND'), (5, 14, 'MODEL'), (15, 25, 'PRODUCT_TYPE'), (26, 31, 'COLOR')]"
LG OLED C3 65 inch TV,search_product,"[(0, 2, 'BRAND'), (3, 10, 'MODEL'), (11, 16, 'SIZE'), (17, 19, 'PRODUCT_TYPE')]"
Xbox Series X with 2 controllers,search_product,"[(0, 13, 'PRODUCT_NAME'), (19, 21, 'QTY'), (22, 32, 'ACCESSORY')]"
kitchenaid stand mixer 5qt red,search_product,"[(0, 10, 'BRAND'), (11, 22, 'PRODUCT_TYPE'), (23, 26, 'CAPACITY'), (27, 30, 'COLOR')]"
diamond wedding band 1ct platinum,search_product,"[(0, 7, 'MATERIAL'), (8, 20, 'PRODUCT_TYPE'), (21, 24, 'WEIGHT'), (25, 33, 'METAL')]"
yeti rambler 20oz stainless steel,search_product,"[(0, 4, 'BRAND'), (5, 12, 'MODEL'), (13, 17, 'SIZE'), (18, 33, 'MATERIAL')]"
canon r6 mark ii mirrorless,search_product,"[(0, 5, 'BRAND'), (6, 17, 'MODEL')]"
