query,intent,entities
Show me professional curling irons with adjustable temperature and ceramic tourmaline barrels,search_product,"[(9, 21, 'FEATURE'), (22, 37, 'PRODUCT_TYPE'), (42, 66, 'FEATURE')]"
Cruise to Alaska 7 days balcony room,search_product,"[(0, 16, 'SERVICE_TYPE'), (17, 23, 'DESTINATION'), (24, 30, 'DURATION')]"
Trouvez des sets de couteaux de chef en acier damassé avec bloc d'acacia et affûteur céramique inclus,search_product,"[(13, 38, 'PRODUCT_TYPE'), (43, 59, 'MATERIAL'), (64, 88, 'FEATURE')]"
WD My Passport 4TB portable external hard drive blue,search_product,"[(0, 2, 'BRAND'), (3, 13, 'MODEL'), (14, 18, 'CAPACITY'), (19, 27, 'FEATURE'), (28, 45, 'PRODUCT_TYPE'), (46, 50, 'COLOR')]"
Find authentic autographed football helmets - NFL Hall of Famers with reputable COAs,search_product,"[(11, 19, 'AUTHENTICITY'), (20, 42, 'PRODUCT_TYPE'), (44, 71, 'QUALIFICATION')]"
Hundeleine einziehbar 16 Fuß mittlere Hunde,search_product,"[(0, 10, 'PRODUCT_TYPE'), (11, 21, 'FEATURE'), (22, 28, 'SIZE'), (29, 43, 'ANIMAL_SIZE')]"
Compre um sistema de irrigação,search_product,[]
Cámara de seguridad inalámbrica con detección de movimiento,search_product,"[(0, 12, 'PRODUCT_TYPE'), (13, 25, 'TECH'), (26, 38, 'FEATURE')]"
"Busco un sistema de riego automático con control por voz y sensores de lluvia, para jardín",search_product,"[(10, 43, 'PRODUCT_TYPE'), (48, 67, 'FEATURE')]"
Show me luxury chicken coops: predator-proof designs with automatic doors and nesting boxes,search_product,"[(9, 15, 'CONDITION'), (16, 30, 'PRODUCT_TYPE'), (32, 56, 'FEATURE'), (62, 83, 'INCLUSIONS')]"
"Compre um kit de chave de fenda de precisão com 100 bits e estojo magnético, Cr-V",search_product,"[(6, 47, 'PRODUCT_TYPE'), (52, 66, 'SIZE')]"
Zeig mir professionelle Haarschneidemaschinen mit Lithium-Ionen-Akku und 6 Aufsätzen,search_product,"[(10, 40, 'PRODUCT_TYPE'), (45, 75, 'TECH')]"
"Acquista sistemi di allarme per auto con sensore d'urto e localizzatore GPS, anti-jamming",search_product,"[(8, 37, 'PRODUCT_TYPE'), (42, 61, 'FEATURE'), (66, 85, 'FEATURE')]"
"Show me high-end home theater projectors with 4K resolution, HDR, and low input lag (<20ms)",search_product,"[(9, 17, 'CONDITION'), (18, 40, 'PRODUCT_TYPE'), (46, 60, 'FEATURE'), (62, 66, 'FEATURE'), (72, 90, 'FEATURE')]"
Looking for vintage photography equipment - early flash guns or darkroom timers,search_product,"[(15, 22, 'STYLE'), (23, 48, 'PRODUCT_TYPE'), (50, 78, 'SPECIFIC_ITEMS')]"
μεταχειρισμένο MacBook Air 2020,search_product,"[(14, 21, 'BRAND'), (22, 31, 'MODEL')]"
Rotho Aufbewahrungsbox mit Deckel transparent 10L,search_product,"[(0, 5, 'BRAND'), (6, 22, 'PRODUCT_TYPE'), (27, 32, 'FEATURE'), (33, 44, 'COLOR'), (45, 48, 'CAPACITY')]"
high-end DSLR camera kit with lens,search_product,"[(0, 8, 'CONDITION'), (9, 13, 'PRODUCT_TYPE'), (14, 19, 'ACCESSORY'), (20, 25, 'FEATURE')]"
Chaise d'alimentation bébé avec harnais 3 points,search_product,"[(0, 24, 'PRODUCT_TYPE'), (30, 47, 'ACCESSORY')]"
DJI Mini 4 Pro drone Fly More Combo,search_product,"[(0, 3, 'BRAND'), (4, 13, 'MODEL'), (14, 19, 'PRODUCT_TYPE'), (20, 33, 'INCLUSIONS')]"
Κράτηση ξενοδοχείου Θεσσαλονίκη κοντά στην πλατεία Αριστοτέλους 4 βράδια,search_product,"[(0, 21, 'SERVICE_TYPE'), (22, 34, 'DESTINATION'), (35, 66, 'LOCATION_PREFERENCE')]"
Find me professional-grade plumbing tools: pipe threaders with dies and cutting oil,search_product,"[(11, 30, 'PRODUCT_TYPE'), (32, 61, 'SPECIFIC_PRODUCT')]"
Aquarium filter for 30 gallon tank,search_product,"[(0, 15, 'PRODUCT_TYPE')]"
Find me commercial display risers,search_product,[]
Show me luxury picnic backpacks - insulated compartments for wine and cheese sets,search_product,"[(9, 15, 'CONDITION'), (16, 35, 'PRODUCT_TYPE'), (37, 70, 'FEATURE')]"
Mostra banchi per panifici in acciaio inox con ripiani regolabili e ruote bloccabili,search_product,"[(7, 32, 'PRODUCT_TYPE'), (33, 51, 'MATERIAL'), (56, 84, 'FEATURE')]"
Filtre d'aquarium pour bac de 30 gallons,search_product,"[(0, 17, 'PRODUCT_TYPE')]"
Montre en or rose taille petite,search_product,"[(0, 6, 'PRODUCT_TYPE'), (10, 17, 'MATERIAL'), (18, 31, 'SIZE')]"
"Compre um projetor de alta luminosidade com correção keystone e Wi-Fi, 5000 lúmens",search_product,"[(6, 39, 'PRODUCT_TYPE'), (44, 68, 'FEATURE')]"
νήμα για 3D εκτυπωτή PLA 1.75mm μαύρο 1kg καρούλι,search_product,"[(0, 21, 'PRODUCT_TYPE'), (22, 25, 'MATERIAL'), (26, 32, 'DIAMETER'), (33, 38, 'COLOR'), (39, 46, 'WEIGHT')]"
Kabellose Überwachungskamera mit Bewegungserkennung,search_product,"[(0, 28, 'PRODUCT_TYPE')]"
Electric egg cooker stainless steel 7 eggs capacity,search_product,"[(0, 8, 'TECH'), (9, 20, 'PRODUCT_TYPE'), (21, 36, 'MATERIAL'), (37, 43, 'CAPACITY')]"
New Balance 990v6 running shoes grey size 11.5,search_product,"[(0, 11, 'BRAND'), (12, 17, 'MODEL'), (18, 31, 'PRODUCT_TYPE'), (32, 36, 'COLOR'), (37, 46, 'SIZE')]"
Show me high-end telescope cameras: cooled CCD with filter wheels and guiding ports,search_product,"[(9, 17, 'CONDITION'), (18, 36, 'PRODUCT_TYPE'), (38, 56, 'FEATURE'), (62, 77, 'INCLUSIONS')]"
Mathematical Statistics with Applications 7th edition hardcover,search_product,"[(0, 40, 'TITLE'), (41, 52, 'EDITION'), (53, 63, 'BINDING')]"
Educational science kit age 8-12 experiments,search_product,"[(0, 11, 'FEATURE'), (12, 24, 'PRODUCT_TYPE'), (25, 33, 'AGE_RANGE')]"
Garden hose 50 ft expandable,search_product,"[(0, 11, 'PRODUCT_TYPE'), (12, 17, 'SIZE'), (18, 28, 'FEATURE')]"
Auriculares gaming inalámbricos con sonido envolvente SteelSeries Arctis 7,search_product,"[(0, 11, 'TECH'), (12, 28, 'PRODUCT_TYPE'), (34, 51, 'FEATURE'), (52, 62, 'BRAND'), (63, 71, 'MODEL')]"
"Acquista casse da sub per fotocamere con controlli esterni e supporti per luci, 40m",search_product,"[(8, 39, 'PRODUCT_TYPE'), (44, 67, 'FEATURE')]"
Find me commercial refrigeration gaskets with magnetic strips and FDA-approved materials,search_product,"[(11, 19, 'FEATURE'), (20, 43, 'PRODUCT_TYPE'), (48, 68, 'FEATURE')]"
men's blue denim jeans size 34x32,search_product,"[(0, 5, 'GENDER'), (6, 10, 'COLOR'), (11, 16, 'MATERIAL'), (17, 22, 'PRODUCT_TYPE'), (23, 31, 'SIZE')]"
Vollelektrisches Autoladegerät,search_product,"[(0, 29, 'PRODUCT_TYPE')]"
"Search for commercial-grade espresso machines with dual boilers and volumetric dosing, E61 group heads preferred",search_product,"[(11, 28, 'FEATURE'), (29, 45, 'PRODUCT_TYPE'), (50, 63, 'FEATURE'), (68, 86, 'FEATURE'), (91, 112, 'FEATURE')]"
